"Town/County","FIPS","Year","Measure Type","Variable","Value"
"Barkhamsted","0900502760",2002,"Number","Total Assisted Units",21
"Barkhamsted","0900502760",2003,"Number","Total Assisted Units",13
"Barkhamsted","0900502760",2004,"Number","Total Assisted Units",10
"Barkhamsted","0900502760",2005,"Number","Total Assisted Units",11
"Barkhamsted","0900502760",2006,"Number","Total Assisted Units",12
"Barkhamsted","0900502760",2007,"Number","Total Assisted Units",13
"Barkhamsted","0900502760",2008,"Number","Total Assisted Units",12
"Barkhamsted","0900502760",2009,"Number","Total Assisted Units",14
"Barkhamsted","0900502760",2010,"Number","Total Assisted Units",15
"Barkhamsted","0900502760",2011,"Number","Total Assisted Units",14
"Barkhamsted","0900502760",2012,"Number","Total Assisted Units",13
"Barkhamsted","0900502760",2013,"Number","Total Assisted Units",16
"Barkhamsted","0900502760",2014,"Number","Total Assisted Units",17
"Barkhamsted","0900502760",2015,"Number","Total Assisted Units",20
"Barkhamsted","0900502760",2016,"Number","Total Assisted Units",20
"Beacon Falls","0900903250",2002,"Number","Total Assisted Units",41
"Beacon Falls","0900903250",2003,"Number","Total Assisted Units",29
"Beacon Falls","0900903250",2004,"Number","Total Assisted Units",31
"Beacon Falls","0900903250",2005,"Number","Total Assisted Units",23
"Beacon Falls","0900903250",2006,"Number","Total Assisted Units",25
"Beacon Falls","0900903250",2007,"Number","Total Assisted Units",28
"Beacon Falls","0900903250",2008,"Number","Total Assisted Units",31
"Beacon Falls","0900903250",2009,"Number","Total Assisted Units",31
"Beacon Falls","0900903250",2010,"Number","Total Assisted Units",33
"Beacon Falls","0900903250",2011,"Number","Total Assisted Units",31
"Beacon Falls","0900903250",2012,"Number","Total Assisted Units",31
"Beacon Falls","0900903250",2013,"Number","Total Assisted Units",37
"Beacon Falls","0900903250",2014,"Number","Total Assisted Units",33
"Beacon Falls","0900903250",2015,"Number","Total Assisted Units",41
"Beacon Falls","0900903250",2016,"Number","Total Assisted Units",37
"Berlin","0900304300",2002,"Number","Total Assisted Units",177
"Berlin","0900304300",2003,"Number","Total Assisted Units",272
"Berlin","0900304300",2004,"Number","Total Assisted Units",259
"Berlin","0900304300",2005,"Number","Total Assisted Units",272
"Berlin","0900304300",2006,"Number","Total Assisted Units",462
"Berlin","0900304300",2007,"Number","Total Assisted Units",474
"Berlin","0900304300",2008,"Number","Total Assisted Units",494
"Berlin","0900304300",2009,"Number","Total Assisted Units",496
"Berlin","0900304300",2010,"Number","Total Assisted Units",585
"Berlin","0900304300",2011,"Number","Total Assisted Units",586
"Berlin","0900304300",2012,"Number","Total Assisted Units",585
"Berlin","0900304300",2013,"Number","Total Assisted Units",684
"Berlin","0900304300",2014,"Number","Total Assisted Units",699
"Berlin","0900304300",2015,"Number","Total Assisted Units",719
"Berlin","0900304300",2016,"Number","Total Assisted Units",715
"Bethany","0900904580",2002,"Number","Total Assisted Units",3
"Bethany","0900904580",2003,"Number","Total Assisted Units",3
"Bethany","0900904580",2004,"Number","Total Assisted Units",2
"Bethany","0900904580",2005,"Number","Total Assisted Units",3
"Bethany","0900904580",2006,"Number","Total Assisted Units",3
"Bethany","0900904580",2007,"Number","Total Assisted Units",3
"Bethany","0900904580",2008,"Number","Total Assisted Units",3
"Bethany","0900904580",2009,"Number","Total Assisted Units",3
"Bethany","0900904580",2010,"Number","Total Assisted Units",2
"Bethany","0900904580",2011,"Number","Total Assisted Units",1
"Bethany","0900904580",2012,"Number","Total Assisted Units",2
"Bethany","0900904580",2013,"Number","Total Assisted Units",3
"Bethany","0900904580",2014,"Number","Total Assisted Units",3
"Bethany","0900904580",2015,"Number","Total Assisted Units",7
"Bethany","0900904580",2016,"Number","Total Assisted Units",10
"Bethel","0900104720",2002,"Number","Total Assisted Units",276
"Bethel","0900104720",2003,"Number","Total Assisted Units",385
"Bethel","0900104720",2004,"Number","Total Assisted Units",321
"Bethel","0900104720",2005,"Number","Total Assisted Units",421
"Bethel","0900104720",2006,"Number","Total Assisted Units",324
"Bethel","0900104720",2007,"Number","Total Assisted Units",314
"Bethel","0900104720",2008,"Number","Total Assisted Units",334
"Bethel","0900104720",2009,"Number","Total Assisted Units",339
"Bethel","0900104720",2010,"Number","Total Assisted Units",385
"Bethel","0900104720",2011,"Number","Total Assisted Units",379
"Bethel","0900104720",2012,"Number","Total Assisted Units",380
"Bethel","0900104720",2013,"Number","Total Assisted Units",389
"Bethel","0900104720",2014,"Number","Total Assisted Units",397
"Bethel","0900104720",2015,"Number","Total Assisted Units",370
"Bethel","0900104720",2016,"Number","Total Assisted Units",341
"Bethlehem","0900504930",2002,"Number","Total Assisted Units",28
"Bethlehem","0900504930",2003,"Number","Total Assisted Units",26
"Bethlehem","0900504930",2004,"Number","Total Assisted Units",26
"Bethlehem","0900504930",2005,"Number","Total Assisted Units",24
"Bethlehem","0900504930",2006,"Number","Total Assisted Units",24
"Bethlehem","0900504930",2007,"Number","Total Assisted Units",24
"Bethlehem","0900504930",2008,"Number","Total Assisted Units",24
"Bethlehem","0900504930",2009,"Number","Total Assisted Units",24
"Bethlehem","0900504930",2010,"Number","Total Assisted Units",24
"Bethlehem","0900504930",2011,"Number","Total Assisted Units",24
"Bethlehem","0900504930",2012,"Number","Total Assisted Units",25
"Bethlehem","0900504930",2013,"Number","Total Assisted Units",26
"Bethlehem","0900504930",2014,"Number","Total Assisted Units",25
"Bethlehem","0900504930",2015,"Number","Total Assisted Units",26
"Bethlehem","0900504930",2016,"Number","Total Assisted Units",28
"Bloomfield","0900305910",2002,"Number","Total Assisted Units",1293
"Bloomfield","0900305910",2003,"Number","Total Assisted Units",1110
"Bloomfield","0900305910",2004,"Number","Total Assisted Units",965
"Bloomfield","0900305910",2005,"Number","Total Assisted Units",1018
"Bloomfield","0900305910",2006,"Number","Total Assisted Units",871
"Bloomfield","0900305910",2007,"Number","Total Assisted Units",938
"Bloomfield","0900305910",2008,"Number","Total Assisted Units",952
"Bloomfield","0900305910",2009,"Number","Total Assisted Units",951
"Bloomfield","0900305910",2010,"Number","Total Assisted Units",997
"Bloomfield","0900305910",2011,"Number","Total Assisted Units",1026
"Bloomfield","0900305910",2012,"Number","Total Assisted Units",1026
"Bloomfield","0900305910",2013,"Number","Total Assisted Units",1045
"Bloomfield","0900305910",2014,"Number","Total Assisted Units",1051
"Bloomfield","0900305910",2015,"Number","Total Assisted Units",1009
"Bloomfield","0900305910",2016,"Number","Total Assisted Units",976
"Bolton","0901306260",2002,"Number","Total Assisted Units",32
"Bolton","0901306260",2003,"Number","Total Assisted Units",17
"Bolton","0901306260",2004,"Number","Total Assisted Units",17
"Bolton","0901306260",2005,"Number","Total Assisted Units",13
"Bolton","0901306260",2006,"Number","Total Assisted Units",14
"Bolton","0901306260",2007,"Number","Total Assisted Units",16
"Bolton","0901306260",2008,"Number","Total Assisted Units",14
"Bolton","0901306260",2009,"Number","Total Assisted Units",15
"Bolton","0901306260",2010,"Number","Total Assisted Units",15
"Bolton","0901306260",2011,"Number","Total Assisted Units",18
"Bolton","0901306260",2012,"Number","Total Assisted Units",19
"Bolton","0901306260",2013,"Number","Total Assisted Units",23
"Bolton","0901306260",2014,"Number","Total Assisted Units",26
"Bolton","0901306260",2015,"Number","Total Assisted Units",25
"Bolton","0901306260",2016,"Number","Total Assisted Units",20
"Bozrah","0901106820",2002,"Number","Total Assisted Units",26
"Bozrah","0901106820",2003,"Number","Total Assisted Units",25
"Bozrah","0901106820",2004,"Number","Total Assisted Units",25
"Bozrah","0901106820",2005,"Number","Total Assisted Units",23
"Bozrah","0901106820",2006,"Number","Total Assisted Units",23
"Bozrah","0901106820",2007,"Number","Total Assisted Units",24
"Bozrah","0901106820",2008,"Number","Total Assisted Units",20
"Bozrah","0901106820",2009,"Number","Total Assisted Units",19
"Bozrah","0901106820",2010,"Number","Total Assisted Units",18
"Bozrah","0901106820",2011,"Number","Total Assisted Units",20
"Bozrah","0901106820",2012,"Number","Total Assisted Units",23
"Bozrah","0901106820",2013,"Number","Total Assisted Units",33
"Bozrah","0901106820",2014,"Number","Total Assisted Units",36
"Bozrah","0901106820",2015,"Number","Total Assisted Units",33
"Bozrah","0901106820",2016,"Number","Total Assisted Units",33
"Branford","0900907310",2002,"Number","Total Assisted Units",583
"Branford","0900907310",2003,"Number","Total Assisted Units",374
"Branford","0900907310",2004,"Number","Total Assisted Units",378
"Branford","0900907310",2005,"Number","Total Assisted Units",472
"Branford","0900907310",2006,"Number","Total Assisted Units",385
"Branford","0900907310",2007,"Number","Total Assisted Units",423
"Branford","0900907310",2008,"Number","Total Assisted Units",434
"Branford","0900907310",2009,"Number","Total Assisted Units",451
"Branford","0900907310",2010,"Number","Total Assisted Units",448
"Branford","0900907310",2011,"Number","Total Assisted Units",452
"Branford","0900907310",2012,"Number","Total Assisted Units",456
"Branford","0900907310",2013,"Number","Total Assisted Units",472
"Branford","0900907310",2014,"Number","Total Assisted Units",478
"Branford","0900907310",2015,"Number","Total Assisted Units",484
"Branford","0900907310",2016,"Number","Total Assisted Units",451
"Bridgeport","0900108070",2002,"Number","Total Assisted Units",12974
"Bridgeport","0900108070",2003,"Number","Total Assisted Units",9927
"Bridgeport","0900108070",2004,"Number","Total Assisted Units",9862
"Bridgeport","0900108070",2005,"Number","Total Assisted Units",6529
"Bridgeport","0900108070",2006,"Number","Total Assisted Units",9674
"Bridgeport","0900108070",2007,"Number","Total Assisted Units",9473
"Bridgeport","0900108070",2008,"Number","Total Assisted Units",9484
"Bridgeport","0900108070",2009,"Number","Total Assisted Units",9722
"Bridgeport","0900108070",2010,"Number","Total Assisted Units",9964
"Bridgeport","0900108070",2011,"Number","Total Assisted Units",10307
"Bridgeport","0900108070",2012,"Number","Total Assisted Units",10086
"Bridgeport","0900108070",2013,"Number","Total Assisted Units",10553
"Bridgeport","0900108070",2014,"Number","Total Assisted Units",10705
"Bridgeport","0900108070",2015,"Number","Total Assisted Units",11339
"Bridgeport","0900108070",2016,"Number","Total Assisted Units",11300
"Bridgewater","0900508210",2002,"Number","Total Assisted Units",1
"Bridgewater","0900508210",2003,"Number","Total Assisted Units",0
"Bridgewater","0900508210",2004,"Number","Total Assisted Units",0
"Bridgewater","0900508210",2005,"Number","Total Assisted Units",1
"Bridgewater","0900508210",2006,"Number","Total Assisted Units",1
"Bridgewater","0900508210",2007,"Number","Total Assisted Units",1
"Bridgewater","0900508210",2008,"Number","Total Assisted Units",1
"Bridgewater","0900508210",2009,"Number","Total Assisted Units",2
"Bridgewater","0900508210",2010,"Number","Total Assisted Units",2
"Bridgewater","0900508210",2011,"Number","Total Assisted Units",2
"Bridgewater","0900508210",2012,"Number","Total Assisted Units",2
"Bridgewater","0900508210",2013,"Number","Total Assisted Units",2
"Bridgewater","0900508210",2014,"Number","Total Assisted Units",2
"Bridgewater","0900508210",2015,"Number","Total Assisted Units",4
"Bridgewater","0900508210",2016,"Number","Total Assisted Units",4
"Bristol","0900308490",2002,"Number","Total Assisted Units",3666
"Bristol","0900308490",2003,"Number","Total Assisted Units",3532
"Bristol","0900308490",2004,"Number","Total Assisted Units",3390
"Bristol","0900308490",2005,"Number","Total Assisted Units",4336
"Bristol","0900308490",2006,"Number","Total Assisted Units",3412
"Bristol","0900308490",2007,"Number","Total Assisted Units",3513
"Bristol","0900308490",2008,"Number","Total Assisted Units",3532
"Bristol","0900308490",2009,"Number","Total Assisted Units",3560
"Bristol","0900308490",2010,"Number","Total Assisted Units",3542
"Bristol","0900308490",2011,"Number","Total Assisted Units",3576
"Bristol","0900308490",2012,"Number","Total Assisted Units",3578
"Bristol","0900308490",2013,"Number","Total Assisted Units",3634
"Bristol","0900308490",2014,"Number","Total Assisted Units",3521
"Bristol","0900308490",2015,"Number","Total Assisted Units",3840
"Bristol","0900308490",2016,"Number","Total Assisted Units",3691
"Brookfield","0900108980",2002,"Number","Total Assisted Units",124
"Brookfield","0900108980",2003,"Number","Total Assisted Units",93
"Brookfield","0900108980",2004,"Number","Total Assisted Units",85
"Brookfield","0900108980",2005,"Number","Total Assisted Units",48
"Brookfield","0900108980",2006,"Number","Total Assisted Units",85
"Brookfield","0900108980",2007,"Number","Total Assisted Units",98
"Brookfield","0900108980",2008,"Number","Total Assisted Units",99
"Brookfield","0900108980",2009,"Number","Total Assisted Units",100
"Brookfield","0900108980",2010,"Number","Total Assisted Units",107
"Brookfield","0900108980",2011,"Number","Total Assisted Units",131
"Brookfield","0900108980",2012,"Number","Total Assisted Units",139
"Brookfield","0900108980",2013,"Number","Total Assisted Units",160
"Brookfield","0900108980",2014,"Number","Total Assisted Units",160
"Brookfield","0900108980",2015,"Number","Total Assisted Units",221
"Brookfield","0900108980",2016,"Number","Total Assisted Units",256
"Brooklyn","0901509190",2002,"Number","Total Assisted Units",369
"Brooklyn","0901509190",2003,"Number","Total Assisted Units",436
"Brooklyn","0901509190",2004,"Number","Total Assisted Units",374
"Brooklyn","0901509190",2005,"Number","Total Assisted Units",486
"Brooklyn","0901509190",2006,"Number","Total Assisted Units",297
"Brooklyn","0901509190",2007,"Number","Total Assisted Units",273
"Brooklyn","0901509190",2008,"Number","Total Assisted Units",285
"Brooklyn","0901509190",2009,"Number","Total Assisted Units",289
"Brooklyn","0901509190",2010,"Number","Total Assisted Units",309
"Brooklyn","0901509190",2011,"Number","Total Assisted Units",305
"Brooklyn","0901509190",2012,"Number","Total Assisted Units",324
"Brooklyn","0901509190",2013,"Number","Total Assisted Units",378
"Brooklyn","0901509190",2014,"Number","Total Assisted Units",378
"Brooklyn","0901509190",2015,"Number","Total Assisted Units",358
"Brooklyn","0901509190",2016,"Number","Total Assisted Units",346
"Burlington","0900310100",2002,"Number","Total Assisted Units",59
"Burlington","0900310100",2003,"Number","Total Assisted Units",71
"Burlington","0900310100",2004,"Number","Total Assisted Units",50
"Burlington","0900310100",2005,"Number","Total Assisted Units",52
"Burlington","0900310100",2006,"Number","Total Assisted Units",50
"Burlington","0900310100",2007,"Number","Total Assisted Units",46
"Burlington","0900310100",2008,"Number","Total Assisted Units",50
"Burlington","0900310100",2009,"Number","Total Assisted Units",51
"Burlington","0900310100",2010,"Number","Total Assisted Units",53
"Burlington","0900310100",2011,"Number","Total Assisted Units",53
"Burlington","0900310100",2012,"Number","Total Assisted Units",57
"Burlington","0900310100",2013,"Number","Total Assisted Units",69
"Burlington","0900310100",2014,"Number","Total Assisted Units",61
"Burlington","0900310100",2015,"Number","Total Assisted Units",66
"Burlington","0900310100",2016,"Number","Total Assisted Units",72
"Canaan","0900510940",2002,"Number","Total Assisted Units",11
"Canaan","0900510940",2003,"Number","Total Assisted Units",12
"Canaan","0900510940",2004,"Number","Total Assisted Units",8
"Canaan","0900510940",2005,"Number","Total Assisted Units",9
"Canaan","0900510940",2006,"Number","Total Assisted Units",9
"Canaan","0900510940",2007,"Number","Total Assisted Units",34
"Canaan","0900510940",2008,"Number","Total Assisted Units",34
"Canaan","0900510940",2009,"Number","Total Assisted Units",11
"Canaan","0900510940",2010,"Number","Total Assisted Units",10
"Canaan","0900510940",2011,"Number","Total Assisted Units",35
"Canaan","0900510940",2012,"Number","Total Assisted Units",35
"Canaan","0900510940",2013,"Number","Total Assisted Units",36
"Canaan","0900510940",2014,"Number","Total Assisted Units",59
"Canaan","0900510940",2015,"Number","Total Assisted Units",54
"Canaan","0900510940",2016,"Number","Total Assisted Units",56
"Canterbury","0901512130",2002,"Number","Total Assisted Units",150
"Canterbury","0901512130",2003,"Number","Total Assisted Units",134
"Canterbury","0901512130",2004,"Number","Total Assisted Units",116
"Canterbury","0901512130",2005,"Number","Total Assisted Units",109
"Canterbury","0901512130",2006,"Number","Total Assisted Units",105
"Canterbury","0901512130",2007,"Number","Total Assisted Units",98
"Canterbury","0901512130",2008,"Number","Total Assisted Units",100
"Canterbury","0901512130",2009,"Number","Total Assisted Units",100
"Canterbury","0901512130",2010,"Number","Total Assisted Units",105
"Canterbury","0901512130",2011,"Number","Total Assisted Units",108
"Canterbury","0901512130",2012,"Number","Total Assisted Units",117
"Canterbury","0901512130",2013,"Number","Total Assisted Units",146
"Canterbury","0901512130",2014,"Number","Total Assisted Units",155
"Canterbury","0901512130",2015,"Number","Total Assisted Units",139
"Canterbury","0901512130",2016,"Number","Total Assisted Units",139
"Canton","0900312270",2002,"Number","Total Assisted Units",177
"Canton","0900312270",2003,"Number","Total Assisted Units",194
"Canton","0900312270",2004,"Number","Total Assisted Units",292
"Canton","0900312270",2005,"Number","Total Assisted Units",295
"Canton","0900312270",2006,"Number","Total Assisted Units",304
"Canton","0900312270",2007,"Number","Total Assisted Units",312
"Canton","0900312270",2008,"Number","Total Assisted Units",313
"Canton","0900312270",2009,"Number","Total Assisted Units",314
"Canton","0900312270",2010,"Number","Total Assisted Units",314
"Canton","0900312270",2011,"Number","Total Assisted Units",315
"Canton","0900312270",2012,"Number","Total Assisted Units",317
"Canton","0900312270",2013,"Number","Total Assisted Units",325
"Canton","0900312270",2014,"Number","Total Assisted Units",328
"Canton","0900312270",2015,"Number","Total Assisted Units",328
"Canton","0900312270",2016,"Number","Total Assisted Units",304
"Chaplin","0901513810",2002,"Number","Total Assisted Units",27
"Chaplin","0901513810",2003,"Number","Total Assisted Units",31
"Chaplin","0901513810",2004,"Number","Total Assisted Units",23
"Chaplin","0901513810",2005,"Number","Total Assisted Units",23
"Chaplin","0901513810",2006,"Number","Total Assisted Units",21
"Chaplin","0901513810",2007,"Number","Total Assisted Units",21
"Chaplin","0901513810",2008,"Number","Total Assisted Units",22
"Chaplin","0901513810",2009,"Number","Total Assisted Units",25
"Chaplin","0901513810",2010,"Number","Total Assisted Units",26
"Chaplin","0901513810",2011,"Number","Total Assisted Units",24
"Chaplin","0901513810",2012,"Number","Total Assisted Units",24
"Chaplin","0901513810",2013,"Number","Total Assisted Units",28
"Chaplin","0901513810",2014,"Number","Total Assisted Units",36
"Chaplin","0901513810",2015,"Number","Total Assisted Units",32
"Chaplin","0901513810",2016,"Number","Total Assisted Units",33
"Cheshire","0900914160",2002,"Number","Total Assisted Units",272
"Cheshire","0900914160",2003,"Number","Total Assisted Units",258
"Cheshire","0900914160",2004,"Number","Total Assisted Units",283
"Cheshire","0900914160",2005,"Number","Total Assisted Units",336
"Cheshire","0900914160",2006,"Number","Total Assisted Units",343
"Cheshire","0900914160",2007,"Number","Total Assisted Units",322
"Cheshire","0900914160",2008,"Number","Total Assisted Units",342
"Cheshire","0900914160",2009,"Number","Total Assisted Units",334
"Cheshire","0900914160",2010,"Number","Total Assisted Units",334
"Cheshire","0900914160",2011,"Number","Total Assisted Units",329
"Cheshire","0900914160",2012,"Number","Total Assisted Units",331
"Cheshire","0900914160",2013,"Number","Total Assisted Units",337
"Cheshire","0900914160",2014,"Number","Total Assisted Units",384
"Cheshire","0900914160",2015,"Number","Total Assisted Units",395
"Cheshire","0900914160",2016,"Number","Total Assisted Units",365
"Chester","0900714300",2002,"Number","Total Assisted Units",36
"Chester","0900714300",2003,"Number","Total Assisted Units",32
"Chester","0900714300",2004,"Number","Total Assisted Units",33
"Chester","0900714300",2005,"Number","Total Assisted Units",31
"Chester","0900714300",2006,"Number","Total Assisted Units",34
"Chester","0900714300",2007,"Number","Total Assisted Units",34
"Chester","0900714300",2008,"Number","Total Assisted Units",33
"Chester","0900714300",2009,"Number","Total Assisted Units",34
"Chester","0900714300",2010,"Number","Total Assisted Units",34
"Chester","0900714300",2011,"Number","Total Assisted Units",34
"Chester","0900714300",2012,"Number","Total Assisted Units",35
"Chester","0900714300",2013,"Number","Total Assisted Units",38
"Chester","0900714300",2014,"Number","Total Assisted Units",38
"Chester","0900714300",2015,"Number","Total Assisted Units",40
"Chester","0900714300",2016,"Number","Total Assisted Units",40
"Clinton","0900715350",2002,"Number","Total Assisted Units",144
"Clinton","0900715350",2003,"Number","Total Assisted Units",130
"Clinton","0900715350",2004,"Number","Total Assisted Units",120
"Clinton","0900715350",2005,"Number","Total Assisted Units",116
"Clinton","0900715350",2006,"Number","Total Assisted Units",117
"Clinton","0900715350",2007,"Number","Total Assisted Units",120
"Clinton","0900715350",2008,"Number","Total Assisted Units",125
"Clinton","0900715350",2009,"Number","Total Assisted Units",124
"Clinton","0900715350",2010,"Number","Total Assisted Units",133
"Clinton","0900715350",2011,"Number","Total Assisted Units",131
"Clinton","0900715350",2012,"Number","Total Assisted Units",132
"Clinton","0900715350",2013,"Number","Total Assisted Units",137
"Clinton","0900715350",2014,"Number","Total Assisted Units",140
"Clinton","0900715350",2015,"Number","Total Assisted Units",143
"Clinton","0900715350",2016,"Number","Total Assisted Units",134
"Colchester","0901115910",2002,"Number","Total Assisted Units",648
"Colchester","0901115910",2003,"Number","Total Assisted Units",447
"Colchester","0901115910",2004,"Number","Total Assisted Units",434
"Colchester","0901115910",2005,"Number","Total Assisted Units",429
"Colchester","0901115910",2006,"Number","Total Assisted Units",422
"Colchester","0901115910",2007,"Number","Total Assisted Units",430
"Colchester","0901115910",2008,"Number","Total Assisted Units",439
"Colchester","0901115910",2009,"Number","Total Assisted Units",474
"Colchester","0901115910",2010,"Number","Total Assisted Units",474
"Colchester","0901115910",2011,"Number","Total Assisted Units",474
"Colchester","0901115910",2012,"Number","Total Assisted Units",488
"Colchester","0901115910",2013,"Number","Total Assisted Units",520
"Colchester","0901115910",2014,"Number","Total Assisted Units",543
"Colchester","0901115910",2015,"Number","Total Assisted Units",531
"Colchester","0901115910",2016,"Number","Total Assisted Units",524
"Colebrook","0900516050",2002,"Number","Total Assisted Units",4
"Colebrook","0900516050",2003,"Number","Total Assisted Units",2
"Colebrook","0900516050",2004,"Number","Total Assisted Units",3
"Colebrook","0900516050",2005,"Number","Total Assisted Units",2
"Colebrook","0900516050",2006,"Number","Total Assisted Units",4
"Colebrook","0900516050",2007,"Number","Total Assisted Units",5
"Colebrook","0900516050",2008,"Number","Total Assisted Units",6
"Colebrook","0900516050",2009,"Number","Total Assisted Units",6
"Colebrook","0900516050",2010,"Number","Total Assisted Units",6
"Colebrook","0900516050",2011,"Number","Total Assisted Units",8
"Colebrook","0900516050",2012,"Number","Total Assisted Units",8
"Colebrook","0900516050",2013,"Number","Total Assisted Units",9
"Colebrook","0900516050",2014,"Number","Total Assisted Units",11
"Colebrook","0900516050",2015,"Number","Total Assisted Units",9
"Colebrook","0900516050",2016,"Number","Total Assisted Units",8
"Columbia","0901316400",2002,"Number","Total Assisted Units",72
"Columbia","0901316400",2003,"Number","Total Assisted Units",56
"Columbia","0901316400",2004,"Number","Total Assisted Units",56
"Columbia","0901316400",2005,"Number","Total Assisted Units",57
"Columbia","0901316400",2006,"Number","Total Assisted Units",56
"Columbia","0901316400",2007,"Number","Total Assisted Units",65
"Columbia","0901316400",2008,"Number","Total Assisted Units",67
"Columbia","0901316400",2009,"Number","Total Assisted Units",63
"Columbia","0901316400",2010,"Number","Total Assisted Units",67
"Columbia","0901316400",2011,"Number","Total Assisted Units",65
"Columbia","0901316400",2012,"Number","Total Assisted Units",69
"Columbia","0901316400",2013,"Number","Total Assisted Units",86
"Columbia","0901316400",2014,"Number","Total Assisted Units",90
"Columbia","0901316400",2015,"Number","Total Assisted Units",104
"Columbia","0901316400",2016,"Number","Total Assisted Units",98
"Connecticut","09",2002,"Number","Total Assisted Units",164197
"Connecticut","09",2003,"Number","Total Assisted Units",152658
"Connecticut","09",2004,"Number","Total Assisted Units",146263
"Connecticut","09",2005,"Number","Total Assisted Units",145657
"Connecticut","09",2006,"Number","Total Assisted Units",146066
"Connecticut","09",2007,"Number","Total Assisted Units",149340
"Connecticut","09",2008,"Number","Total Assisted Units",149355
"Connecticut","09",2009,"Number","Total Assisted Units",151438
"Connecticut","09",2010,"Number","Total Assisted Units",155050
"Connecticut","09",2011,"Number","Total Assisted Units",159520
"Connecticut","09",2012,"Number","Total Assisted Units",161379
"Connecticut","09",2013,"Number","Total Assisted Units",167504
"Connecticut","09",2014,"Number","Total Assisted Units",168655
"Connecticut","09",2015,"Number","Total Assisted Units",172556
"Connecticut","09",2016,"Number","Total Assisted Units",164998
"Cornwall","0900517240",2002,"Number","Total Assisted Units",21
"Cornwall","0900517240",2003,"Number","Total Assisted Units",19
"Cornwall","0900517240",2004,"Number","Total Assisted Units",19
"Cornwall","0900517240",2005,"Number","Total Assisted Units",19
"Cornwall","0900517240",2006,"Number","Total Assisted Units",18
