"Town/County","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080",2002,"Number","Total Assisted Units",55
"Andover","0901301080",2003,"Number","Total Assisted Units",42
"Andover","0901301080",2004,"Number","Total Assisted Units",38
"Andover","0901301080",2005,"Number","Total Assisted Units",48
"Andover","0901301080",2006,"Number","Total Assisted Units",39
"Andover","0901301080",2007,"Number","Total Assisted Units",45
"Andover","0901301080",2008,"Number","Total Assisted Units",48
"Andover","0901301080",2009,"Number","Total Assisted Units",47
"Andover","0901301080",2010,"Number","Total Assisted Units",46
"Andover","0901301080",2011,"Number","Total Assisted Units",45
"Andover","0901301080",2012,"Number","Total Assisted Units",47
"Andover","0901301080",2013,"Number","Total Assisted Units",54
"Andover","0901301080",2014,"Number","Total Assisted Units",57
"Andover","0901301080",2015,"Number","Total Assisted Units",55
"Andover","0901301080",2016,"Number","Total Assisted Units",40
"Ansonia","0900901220",2002,"Number","Total Assisted Units",1365
"Ansonia","0900901220",2003,"Number","Total Assisted Units",1199
"Ansonia","0900901220",2004,"Number","Total Assisted Units",1169
"Ansonia","0900901220",2005,"Number","Total Assisted Units",1592
"Ansonia","0900901220",2006,"Number","Total Assisted Units",1170
"Ansonia","0900901220",2007,"Number","Total Assisted Units",1170
"Ansonia","0900901220",2008,"Number","Total Assisted Units",1147
"Ansonia","0900901220",2009,"Number","Total Assisted Units",1004
"Ansonia","0900901220",2010,"Number","Total Assisted Units",1158
"Ansonia","0900901220",2011,"Number","Total Assisted Units",1186
"Ansonia","0900901220",2012,"Number","Total Assisted Units",1186
"Ansonia","0900901220",2013,"Number","Total Assisted Units",1248
"Ansonia","0900901220",2014,"Number","Total Assisted Units",1134
"Ansonia","0900901220",2015,"Number","Total Assisted Units",1159
"Ansonia","0900901220",2016,"Number","Total Assisted Units",1118
"Ashford","0901501430",2002,"Number","Total Assisted Units",106
"Ashford","0901501430",2003,"Number","Total Assisted Units",91
"Ashford","0901501430",2004,"Number","Total Assisted Units",81
"Ashford","0901501430",2005,"Number","Total Assisted Units",80
"Ashford","0901501430",2006,"Number","Total Assisted Units",75
"Ashford","0901501430",2007,"Number","Total Assisted Units",74
"Ashford","0901501430",2008,"Number","Total Assisted Units",73
"Ashford","0901501430",2009,"Number","Total Assisted Units",75
"Ashford","0901501430",2010,"Number","Total Assisted Units",69
"Ashford","0901501430",2011,"Number","Total Assisted Units",68
"Ashford","0901501430",2012,"Number","Total Assisted Units",71
"Ashford","0901501430",2013,"Number","Total Assisted Units",82
"Ashford","0901501430",2014,"Number","Total Assisted Units",84
"Ashford","0901501430",2015,"Number","Total Assisted Units",79
"Ashford","0901501430",2016,"Number","Total Assisted Units",67
"Avon","0900302060",2002,"Number","Total Assisted Units",166
"Avon","0900302060",2003,"Number","Total Assisted Units",106
"Avon","0900302060",2004,"Number","Total Assisted Units",155
"Avon","0900302060",2005,"Number","Total Assisted Units",103
"Avon","0900302060",2006,"Number","Total Assisted Units",166
"Avon","0900302060",2007,"Number","Total Assisted Units",170
"Avon","0900302060",2008,"Number","Total Assisted Units",167
"Avon","0900302060",2009,"Number","Total Assisted Units",167
"Avon","0900302060",2010,"Number","Total Assisted Units",163
"Avon","0900302060",2011,"Number","Total Assisted Units",266
"Avon","0900302060",2012,"Number","Total Assisted Units",270
"Avon","0900302060",2013,"Number","Total Assisted Units",280
"Avon","0900302060",2014,"Number","Total Assisted Units",278
"Avon","0900302060",2015,"Number","Total Assisted Units",283
"Avon","0900302060",2016,"Number","Total Assisted Units",283
